Request,Priority,"Submitted by",Comments,Assignee,Status,Completed,"Due Date",Description,Attachments,"Loblaw PM Owner",Scope,"Design effort",State
"SLT Presentation Screens (Designs)",High,U08TNKBEB7W,Figma,U09BS66S47M,Done,true,2026-01-26,"Complete screens for the E2E flow of the following:
• NUX
• User going through the 6th golden set
• Showcasing personalization/use of medication context
• Returning user
",,"U0A93SM3BPE, U0A8JDEKLJ2","Deck support",L,
"Incognito/Profile Switch mode/Caregiver mode",High,U0A8JDEKLJ2,"• Inline profile selector
• Nested profile selector
Some design decisions:
1. Prevent user from changing profile mid chat. It will almost certainly lead to model confusion
2. Use more text in the button (i.e. ""Ask as..."") to make it clear what the profile is without clicking on it
3. Anonymous hidden behind profile as default
also added this video to answer anjana's feedback",U09BS66S47M,"In progress",false,,"*Caregiver / “Chat for Someone Else” Experience — Requirements*
1. *Entry Point in Core Chat*
    a. Add a visible option in Remedy chat UI: _“Chat for someone else”_ (toggle / CTA).
2. *Profile Mode Switch*
    a. Enable users to switch between:
    b. “Me” (default)
    c. “Someone else” (caregiver/incognito mode)
3. *Lightweight Profile Creation (On First Use)*
    a. When “someone else” is selected, prompt for minimal inputs:
    b. Age (required)
    c. Gender (optional/free-form)
    d. Relationship (optional, e.g., child, parent)
4. *No Pre-existing Account Requirement*
    a. Do not require a saved or registered user profile.
    b. Create a *temporary session-based profile* on first query.
5. *Dynamic Disambiguation by Doctronic*
    a. Ensure Doctronic can:
    b. Accept incomplete inputs
    c. Ask follow-up questions to refine context (age, symptoms, etc.)
6. *Context Isolation*
    a. Clearly separate conversations:
    b. “Me” vs “Someone else” contexts must not mix data or history.
7. *UI State Visibility*
    a. Persist and display active mode in chat header (e.g., “Chatting for: Child, Age 5”).
8. *Session Persistence (Optional v1)*
    a. Decide:
    b. v1: Session-only (resets on exit)
    c. v2: Option to save named profiles
9. *Fallback Handling (If Not Supported by Doctronic)*
    a. If Doctronic cannot support dynamic profiles:
    b. Implement preprocessing layer to structure input before sending
10. *Experience Prototype (This Week)*
    a. Deliver a clickable draft covering:
    b. Mode switch interaction
    c. First-time profile capture
    d. Chat flow with contextual labeling",,U0A8JDEKLJ2,,,
"Doctronic Co-Branding",Medium,U08TNKBEB7W,"<@U0A8JDEKLJ2> this is ready for review

Link here",U0AF7NL95PY,Done,true,,"*Description*
Design lightweight co-branding options to fulfill legal requirement for Doctronic logo inclusion in MVP. Doctronic powers our triage flows specifically, so co-branding should be contextually appropriate rather than prominent throughout the entire experience.

*Requirements*
• Legal agreement requires Doctronic logo/branding inclusion
• Must be ""lighter weight"" approach vs. Doctronic's initial suggestions
• Only associate with triage flows (not all Remedy functionality is Doctronic-powered)
• Explore ""powered by"" format on entry screens as recommended by Erin",,U0A8JDEKLJ2,v1.1,S,
"Personal Health Record",Low,U0A93SM3BPE,,U0AF7NL95PY,Done,true,,"*Description*
Design the conversational experience for users accessing and updating their personal health records through Remedy. Explore how health history, lab results, immunizations, and medical notes can be surfaced contextually during health conversations and how users can contribute new information back to their records.
Consider scenarios like users asking ""what were my cholesterol levels last year?"" or wanting to log new symptoms or medication side effects. Design the UI patterns for displaying historical health data in chat format, data input methods for updating records, and privacy/consent considerations for PHR access.
Work with Mackenzie Pinch to understand technical constraints, data sources, and user priorities for health record integration.

*Design Deliverables*
• User journey maps for PHR access scenarios
• UI patterns for displaying health record data in conversational format
• Input methods for updating/adding health information
• Privacy and consent flow designs for PHR access levels",,U0A9ESVU0KS,"Long-term Discovery",M,
"WCAG 2.0 AA Accessibility Audit",High,U08TNKBEB7W,,U0A7RFFSHK9,Done,true,2026-03-13,"Conduct comprehensive accessibility audit of Remedy MVP components to ensure WCAG 2.0 AA compliance and AODA (Accessibility for Ontarians with Disabilities Act) requirements. Create visual documentation showing current accessibility failures alongside proposed fixes to guide engineering implementation.

*Audit Focus Areas*
• Touch targets - minimum 44px tap areas, adequate spacing
• Color contrast - text/background ratios meeting AA standards
• Typography - font sizes, line heights, readability
• Visual accessibility patterns and component states


*Deliverables*
1. Split-view documentation showing failures vs. fixes for each component
2. Accessibility failure inventory with specific WCAG criteria violations
3. Remediation recommendations with design solutions for each issue",,,v1.1,M,
"Prescription Management",,U0A93SM3BPE,,U0AF7NL95PY,Backlog,false,,"Design the prescription management experience that allows users to view, refill, transfer, and track their medications through conversational interactions with Remedy. Explore how prescription data enhances medication guidance conversations and how users can take prescription-related actions directly from chat.
Consider scenarios like ""when is my refill due?"", ""transfer my prescription to a different pharmacy"", or ""what are the side effects of my current medications?"". Design UI patterns for displaying prescription details, refill workflows, pharmacy selection, and prescription history tracking. Address how DRx management connects to existing medication guidance features planned for the roadmap.
Work with Mackenzie Pinch and Sidharth Sreekumar to understand pharmacy integration capabilities, prescription data access, and regulatory requirements for digital prescription management.

*Design Deliverables*
• Prescription management user journey flows
• UI components for prescription details and actions
• Pharmacy selection and transfer workflows
• Integration patterns with medication guidance conversations
",,"U0A9P5FFR4H, U0A8G746FQQ","Long-term Discovery",,
"Appointment Booking",,U0A93SM3BPE,,U0AF7NL95PY,Done,true,,"Design the end-to-end appointment booking experience within Remedy's conversational interface. Explore how users move from health guidance conversations to actually scheduling care with appropriate providers. Consider integration with existing appointment systems and how to present provider options, availability, and booking confirmation.
Design scenarios where Remedy suggests ""you should see a doctor"" and seamlessly transitions users into appointment booking, including provider selection (family doctor, specialist, walk-in clinic), appointment type preferences (virtual vs in-person), and scheduling logistics. Address how appointment reminders and management fit into the ongoing health conversation.

*Design Deliverables*
• Conversational appointment booking user flows
• Provider selection and filtering UI components
• Appointment confirmation and management interfaces
• Integration touchpoints with existing booking systems
",,"U0A9P5FFR4H, U0A9ESVU0KS","Long-term Discovery",,
"Personalization & Transparency 1.1 GA release (May 1)",High,U08TNKBEB7W,,U09BS66S47M,Done,true,,"Design the full personalization and transparency experience required for V1.1 GA release (May 1st). The MVP version was minimized to chat history, health profile, and prescriptions only, but we have identified enhanced transparency features as non-negotiable for the public Ontario launch.

We need to design the complete ""full data sources screen"" that represents the end-state vision extracted from MVP scope. This includes comprehensive user toggle controls by data stream so users can manage what personal information is used to personalize their Remedy experience. The Sources component must also be enhanced beyond the basic MVP version, with no micro-concessions allowed on removal per v1.1 GA requirements.

The design should show users exactly what data sources are being used to generate their responses, provide granular control over personalization settings, and create full transparency into how their health information contributes to the AI recommendations.

*Deliverables*
• Full data sources transparency screen design
• Enhanced user toggle controls for personalization data streams
• Expanded Sources component integration across response types
• Clear data usage visibility throughout the experience",,,v1.1,,Duplicate
"E2E flow for GA Release (v1.1 May 1)",High,U08TNKBEB7W,,U09BS66S47M,Done,true,2026-03-13,"Map out comprehensive end-to-end user flows for V1.1 GA release (May 1st Ontario launch) to identify gaps, required components, and spec changes needed beyond V1.0 internal pilot. Create storyboard documentation to support Friday demo and engineering planning.

*Context*
• V1.0: Internal pilot release (April 1) - 100 internal users
• V1.1: Ontario GA release (May 1) - live to real Ontario users

*Deliverables*

1. Storyboard mapping of complete V2.0 user journeys (due Tuesday)
2. End-to-end flow documentation covering all user paths from entry to completion
3. Demo-ready prototype flows for Friday presentation


*Key Focus Areas*
• Navigation user flow refinements
• Personalization and transparency spec changes required
• Enhanced user experience elements for public launch vs internal pilot
• Component inventory - what's missing for full GA experience",,,v1.1,L,
"Store location page refinements",Medium,U08TNKBEB7W,,U09BS66S47M,Done,true,,"*Goal:*
• Ensure each SDM/LCL store detail page can show additional services, with the most relevant services surfaced near the top of the page.
*Scope / Requirements:*
• Add a ""Detailed services"" section to the store location detail page.
• For SDM/LCL locations, show additional services available at that location.
• Surface contextually relevant services near the top (e.g., services that are highly used or relevant to the user’s current task/journey).
*Dependencies / Open Questions for Tech:*
• Confirm data source for store-level services:
• Which internal system is the source of truth?
• Which APIs will be used, and are they ready/usable for May 1?
Define fallback behavior:
What do we show if a location has incomplete or no service data?
Performance considerations:
• Any caching or prefetching needed so store pages load quickly with services?
Deliverables:
Finalized UX/UI designs for the detailed services section on the store location page.
• Clear specs for tech on data requirements (fields, states, error/empty states).",,U0A9P5FFR4H,v1.1,S,
"GA release visual identity overview",High,U08TNKBEB7W,,U09BS66S47M,Done,true,,"Create visual facelift for May 1st GA launch addressing navigation specs feedback. Standardize language across different design approaches and incorporate V1.5 vision elements.

*Design Requirements/Cases to Consider:*
• Standardize language and visual approaches across all releases and components
• Incorporate View 1.5 vision elements where appropriate
• Ensure design supports both SDM and PC Health app contexts",,,v1.1,L,
"GA Release Action cards (v2)",,U08TNKBEB7W,,U09BS66S47M,Prioritized,false,,"Design action card components for care navigation CTAs including both internal deep links and external resources.

Scope: need specs
• How do we surface more than 1 at a time?
• Iconography limitation (how do we choose which one to display)
*Design Requirements/Cases to Consider:*
• Care navigation CTAs with internal app deep links
• External resource links and references
• Distinguish visually from contextual conversation chips (backend-generated follow-up questions)
• Map against Sid's CTA list for comprehensive coverage
• Support pharmacy finder, appointment booking, and care escalation flows

Clear action affordances
• Phone → tap to call
• URL → handled to be gracefully displayed → tap to open
• Email → tap to compose
• Address → map
Visual consistency
• Actionable entities are visually distinct from regular text.
• Avoid clutter when multiple entities appear in one response.
Emergency handling
• Emergency numbers visually differentiated from standard numbers.",,,v1.1,,
"Detailed thinking state",High,U09BS66S47M,,U09BS66S47M,Done,true,,"Create specs for the thinking state when Remedy takes longer than 2-3 seconds to provide an answer.

We should provide a PoV on how we can deliver the thinking state in a phased approach (v1 vs v2)",,,,S,Duplicate
"Conversation History - V1.1",Medium,U08TNKBEB7W,,U0AF7NL95PY,Done,true,,,,,,,
"Figma File Reorganization",,U08TNKBEB7W,"Figma file reorg:
• walkthrough",U09BS66S47M,Done,true,,,,,,,
"Proactive AI Assistant",,U08TNKBEB7W,,,Backlog,false,,"Current Remedy is purely reactive - users must initiate all conversations. A proactive assistant could build ongoing relationships by following up on previous conversations, suggesting preventive care, and proactively surfacing relevant health guidance based on user context and health profile.
This transforms Remedy from a search tool into a health companion that actively supports users' ongoing wellness journey, increasing engagement and health outcomes.

*Design Requirements / Cases to Consider*
• Follow-up conversation triggers based on previous health discussions
• Proactive health reminders and preventive care suggestions
• Notification system design for health check-ins and follow-ups and the ability to opt out
• User control over proactivity levels (frequency, types of outreach)
• Proactive content personalization based on health profile and conversation history
",,,"Long-term Discovery",,
"Chat deletion",,U08TNKBEB7W,,U0AF7NL95PY,Done,true,,,,,,,
"Onboarding V2",,U08TNKBEB7W,,"U0AD6D01N4D, U0929BQGD5H","In progress",false,,,,U0A8JDEKLJ2,,,
"Appointment Booking - V2 specs",,U08TNKBEB7W,"Feedback to Address from First Review 4/23
1. The reservation capability for 20 mins, we could say 5 minutes since it is enough time to fill the form and get feedback. 
2. The answer yes to the screening questions to show other questions. 
3. Adding the option of ""I do not have a health card"" for the user to select.
4. Reviewing the experience on how to best manage the screening questions which could range from 7 to 16 questions. Today the experience allows the user select No at the top and pretty much by pass even glancing at the questions.",U0AF7NL95PY,"In progress",false,,,,"U0A96QM0XQD, U0A9P5FFR4H, US1KGJBJN, U097HB6SHNE",,,
